k,Power,Spec ID,Method,Resolution
43.92406458883016,1.15188e-08,000,nbody,n_128
44.86159123488504,1.246975e-08,000,nbody,n_128
45.82394274608859,1.393777e-08,000,nbody,n_128
46.8042076186029,1.555409e-08,000,nbody,n_128
47.801820365750345,1.739881e-08,000,nbody,n_128
48.82739328751473,2.099047e-08,000,nbody,n_128
49.87086700421928,2.3906379999999998e-08,000,nbody,n_128
50.93625018808996,2.838111e-08,000,nbody,n_128
52.03009620140215,3.5337669999999996e-08,000,nbody,n_128
53.14522336334978,4.299614e-08,000,nbody,n_128
54.28244220483744,5.3624409999999996e-08,000,nbody,n_128
55.44541582289922,6.358466999999999e-08,000,nbody,n_128
56.63237235927852,8.253293e-08,000,nbody,n_128
57.84117553097088,1.052098e-07,000,nbody,n_128
59.07895675329995,1.39509e-07,000,nbody,n_128
60.34496832721418,1.944838e-07,000,nbody,n_128
61.636571314884556,2.71096e-07,000,nbody,n_128
62.956260140878015,3.995946e-07,000,nbody,n_128
64.30412905297418,5.947989e-07,000,nbody,n_128
65.68234575010402,8.44651e-07,000,nbody,n_128
67.08732881664245,1.275287e-06,000,nbody,n_128
68.5220941815369,2.730872e-06,000,nbody,n_128
69.99016042855942,4.458809e-06,000,nbody,n_128
71.48650100946423,8.322124e-06,000,nbody,n_128
73.01746194141161,3.399435e-05,000,nbody,n_128
74.58260340143005,7.453299e-05,000,nbody,n_128
76.17790415092294,0.0004335664,000,nbody,n_128
77.8080765788707,0.0021818189999999998,000,nbody,n_128
79.47481714530622,0.0037076400000000003,000,nbody,n_128
81.16687894852967,0.004127992,000,nbody,n_128
82.90198057110733,7.265747e-08,000,nbody,n_128
84.67855121671236,5.337562e-08,000,nbody,n_128
86.49250681489511,6.387777e-08,000,nbody,n_128
88.34083143670813,9.032609e-08,000,nbody,n_128
90.23131623193231,1.446168e-07,000,nbody,n_128
92.16484084651069,2.474947e-07,000,nbody,n_128
94.13512209513605,4.542009e-07,000,nbody,n_128
96.14630688011118,9.322433000000001e-07,000,nbody,n_128
98.20518104156777,2.138416e-06,000,nbody,n_128
100.3061525445825,5.584604e-06,000,nbody,n_128
102.45016386695139,1.841529e-05,000,nbody,n_128
104.63828315017668,8.403847e-05,000,nbody,n_128
106.87113871278909,0.0005853093,000,nbody,n_128
109.1554535630673,0.003721952,000,nbody,n_128
111.48406486976113,0.02304266,000,nbody,n_128
113.86187351741017,0.01879441,000,nbody,n_128
116.30383348704551,7.660564999999999e-07,000,nbody,n_128
118.78242442702172,2.008533e-06,000,nbody,n_128
121.31260031836986,6.203061e-06,000,nbody,n_128
123.90246647013622,2.519922e-05,000,nbody,n_128
126.54278659991922,0.00013833050000000002,000,nbody,n_128
129.23362353957197,0.001408072,000,nbody,n_128
131.93080649638495,0.01947058,000,nbody,n_128
134.56603724606913,0.31813810000000003,000,nbody,n_128
137.01943261296356,5.594804999999999,000,nbody,n_128
139.2997890564982,1.156615,000,nbody,n_128
0.6283185307179586,6.336968,018,nbody,n_128
0.8885768626007672,1.229183,018,nbody,n_128
1.088279739448571,2.35675,018,nbody,n_128
1.2566370614359172,0.9172718000000001,018,nbody,n_128
1.4049629603454443,0.4692395,018,nbody,n_128
1.5390599578083324,0.5862181999999999,018,nbody,n_128
1.7771530968830036,0.8449346,018,nbody,n_128
1.8849555921538759,0.5239075,018,nbody,n_128
1.9869178666817249,0.2703198,018,nbody,n_128
2.0838969469424495,0.3444844,018,nbody,n_128
2.176559478897142,0.3558659,018,nbody,n_128
2.2654345067486665,0.29412269999999996,018,nbody,n_128
2.3509524286905648,0.2275496,018,nbody,n_128
2.5132741228718345,0.2025052,018,nbody,n_128
2.5906239039143997,0.2214076,018,nbody,n_128
2.6657299594837705,0.188856,018,nbody,n_128
2.738777015227979,0.1674178,018,nbody,n_128
2.8099259206908886,0.1604077,018,nbody,n_128
2.8793174192233804,0.1364229,018,nbody,n_128
2.9470752895760044,0.1913252,018,nbody,n_128
3.1133824081976185,0.1886066,018,nbody,n_128
3.2038087545014857,0.176697,018,nbody,n_128
3.264838590027182,0.1605297,018,nbody,n_128
3.3835989604737753,0.15868610000000002,018,nbody,n_128
3.4414425927302017,0.1452154,018,nbody,n_128
3.554306193766007,0.07184578,018,nbody,n_128
3.609415383776749,0.12655629999999998,018,nbody,n_128
3.690438943268422,0.09362648999999999,018,nbody,n_128
3.7699111843077517,0.0951402,018,nbody,n_128
3.8603896810496687,0.1146297,018,nbody,n_128
4.013328066293196,0.08901142,018,nbody,n_128
4.088033254639969,0.07222978000000001,018,nbody,n_128
4.203114820089209,0.07190516999999999,018,nbody,n_128
4.261463620444332,0.09638216,018,nbody,n_128
4.392408972157139,0.06596321000000001,018,nbody,n_128
4.458958585975193,0.05845158,018,nbody,n_128
4.563388267373171,0.06830098,018,nbody,n_128
4.617179245106467,0.05805402,018,nbody,n_128
4.735268571362253,0.0581573,018,nbody,n_128
4.826206368950125,0.048066460000000005,018,nbody,n_128
4.930216333569583,0.04986764,018,nbody,n_128
5.083301117030769,0.05267841,018,nbody,n_128
5.197475390521651,0.03989884,018,nbody,n_128
5.288848612851312,0.03870641,018,nbody,n_128
5.406247417041839,0.03914199,018,nbody,n_128
5.518537363259099,0.038203839999999996,018,nbody,n_128
5.648197175258057,0.02984706,018,nbody,n_128
5.739442848925981,0.04159404,018,nbody,n_128
5.882779270383075,0.031870789999999996,018,nbody,n_128
5.989987376323889,0.03132941,018,nbody,n_128
6.128539152169568,0.03053882,018,nbody,n_128
6.273071263790619,0.029294090000000002,018,nbody,n_128
6.407516978038055,0.03002707,018,nbody,n_128
6.540601126029427,0.02387222,018,nbody,n_128
6.693860582042151,0.02236037,018,nbody,n_128
6.787297830745219,0.02149386,018,nbody,n_128
6.959664453277077,0.01959472,018,nbody,n_128
7.104642671054938,0.017135960000000002,018,nbody,n_128
7.2475034553842805,0.018210849999999997,018,nbody,n_128
7.413235034231756,0.01486588,018,nbody,n_128
7.588561037043295,0.016864260000000002,018,nbody,n_128
7.7289273968056875,0.01492658,018,nbody,n_128
7.911359682199646,0.0143391,018,nbody,n_128
8.060629315542311,0.01330013,018,nbody,n_128
8.233636822975503,0.01210684,018,nbody,n_128
8.424268665195331,0.0114784,018,nbody,n_128
8.587084846060275,0.01044092,018,nbody,n_128
8.78354120105986,0.009616349,018,nbody,n_128
8.964842513098526,0.010850799999999999,018,nbody,n_128
9.151327453015616,0.01001875,018,nbody,n_128
9.36081513434229,0.009166759,018,nbody,n_128
9.557610781348464,0.008678372,018,nbody,n_128
9.77575669202843,0.007767787,018,nbody,n_128
9.976944285564322,0.007471138,018,nbody,n_128
10.183422321128857,0.006871938,018,nbody,n_128
10.383240180267782,0.007261429,018,nbody,n_128
10.618828213360482,0.006146938,018,nbody,n_128
10.830389345838526,0.006287701999999999,018,nbody,n_128
11.070689767911608,0.005778805,018,nbody,n_128
11.32487602951356,0.005563191,018,nbody,n_128
11.569285654777538,0.0056202809999999995,018,nbody,n_128
11.79876014856635,0.004872964,018,nbody,n_128
12.059468356517153,0.004942485,018,nbody,n_128
12.31815966198435,0.004472557,018,nbody,n_128
12.581443975911098,0.004414194000000001,018,nbody,n_128
12.856980501186843,0.0041208600000000005,018,nbody,n_128
13.146377733250228,0.004004185,018,nbody,n_128
13.423478771667462,0.003769797,018,nbody,n_128
13.702024942705346,0.003699734,018,nbody,n_128
13.990630493420028,0.003370384,018,nbody,n_128
14.289465069814796,0.003203967,018,nbody,n_128
14.598189379883065,0.003199287,018,nbody,n_128
14.91337908763242,0.002913062,018,nbody,n_128
15.225521450507795,0.002788943,018,nbody,n_128
15.539737264534539,0.002706708,018,nbody,n_128
15.879368563128825,0.002577389,018,nbody,n_128
16.233356940150014,0.0024324050000000003,018,nbody,n_128
16.5803395655537,0.002343809,018,nbody,n_128
16.94265944629221,0.0022448620000000002,018,nbody,n_128
17.297728531186237,0.002126124,018,nbody,n_128
17.665439384918308,0.002095413,018,nbody,n_128
18.040960237987203,0.0019434969999999998,018,nbody,n_128
18.42670383355088,0.0019173319999999999,018,nbody,n_128
18.827150082733358,0.001818819,018,nbody,n_128
19.227200491241483,0.001740516,018,nbody,n_128
19.640684349936354,0.001673823,018,nbody,n_128
20.052886438828565,0.001584819,018,nbody,n_128
20.47839631420138,0.0015349060000000002,018,nbody,n_128
20.925507780660283,0.001468844,018,nbody,n_128
21.378990397020658,0.001416351,018,nbody,n_128
21.83104673031631,0.0013645640000000002,018,nbody,n_128
22.299979699347045,0.001323493,018,nbody,n_128
22.78281107427726,0.0012889700000000002,018,nbody,n_128
23.2627773167074,0.001222674,018,nbody,n_128
23.760261079773958,0.001169301,018,nbody,n_128
24.26640307219381,0.001124813,018,nbody,n_128
24.78692099259649,0.0010705,018,nbody,n_128
25.324196168213415,0.001044465,018,nbody,n_128
25.865536564724085,0.0009976871,018,nbody,n_128
26.41875218146533,0.0009565807,018,nbody,n_128
