Coord.,Numerical,Analytical,Error,Source,Index
0.99609375,1.0709413426123613,1.0709413426123613,0.0,fd_2_results,000000
0.75390625,5.898329183618665e-06,5.898329183618665e-06,0.0,fd_2_results,000000
0.76171875,1.0468827239173393e-05,1.0468827239173393e-05,0.0,fd_2_results,000000
0.76953125,1.8355450328532e-05,1.8355450328532e-05,0.0,fd_2_results,000000
0.77734375,3.179291492465181e-05,3.179291492465181e-05,0.0,fd_2_results,000000
0.78515625,5.439939708351977e-05,5.439939708351977e-05,0.0,fd_2_results,000000
0.79296875,9.195097188539014e-05,9.195097188539014e-05,0.0,fd_2_results,000000
0.80078125,0.00015353842813080202,0.00015353842813080202,0.0,fd_2_results,000000
0.80859375,0.00025326571267542613,0.00025326571267542613,0.0,fd_2_results,000000
0.81640625,0.00041269979726685625,0.00041269979726685625,0.0,fd_2_results,000000
0.82421875,0.0006643404001456676,0.0006643404001456676,0.0,fd_2_results,000000
0.83203125,0.001056441916829956,0.001056441916829956,0.0,fd_2_results,000000
0.83984375,0.0016595836154190793,0.0016595836154190793,0.0,fd_2_results,000000
0.84765625,0.0025754386323446486,0.0025754386323446486,0.0,fd_2_results,000000
0.85546875,0.003948224389578241,0.003948224389578241,0.0,fd_2_results,000000
0.86328125,0.005979309056023346,0.005979309056023346,0.0,fd_2_results,000000
0.87109375,0.008945378678026505,0.008945378678026505,0.0,fd_2_results,000000
0.00390625,0.0056392627141910335,0.000341139831104284,0.005298122883086748,fd_2_results,000001
0.01171875,0.006596877526475111,0.000229494809922848,0.006367382716552263,fd_2_results,000001
0.01953125,0.007634958922869858,0.0001531547277059851,0.007481804195163874,fd_2_results,000001
0.02734375,0.008742289101870835,0.00010142350693392948,0.008640865594936906,fd_2_results,000001
0.03515625,0.009903573813268925,6.669033583179557e-05,0.009836883477437127,fd_2_results,000001
0.04296875,0.011099549291217675,4.358690829169704e-05,0.011055962382925978,fd_2_results,000001
0.05078125,0.012307329706115918,2.8358504184445613e-05,0.012278971201931471,fd_2_results,000001
0.05859375,0.013501003482196535,1.8401155700909392e-05,0.013482602326495627,fd_2_results,000001
0.06640625,0.014652468231679474,1.1925674242200928e-05,0.014640542557437271,fd_2_results,000001
